TÉCNICA E EXPRESSÃO VOCAL I,
ADMINISTRAÇÃO DE SISTEMAS I, FACOM
JOGOS DIGITAIS I, FACOM
LABORATÓRIO DE DESENVOLVIMENTO DE SISTEMAS ORIENTADO A OBJETOS, FACOM
PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS, FACOM
TÓPICOS EM REDES DE COMPUTADORES II, FACOM
TÓPICOS EM SISTEMAS DE INFORMAÇÃO III, FACOM
"VERIFICAÇÃO, VALIDAÇÃO E TESTE I", FACOM
ALGORITMOS E PROGRAMAÇÃO ORIENTADA A OBJETOS II, FACOM
CABEAMENTO ESTRUTURADO, 
ELETRICIDADE BÁSICA,
ENGENHARIA DE REQUISITOS,
INTRODUÇÃO À CONTABILIDADE,
TÓPICO ESPECIAL INTERDISCIPLINAR III,
CÁLCULO COM GEOMETRIA ANALÍTICA I,
GEOMETRIA COMPUTACIONAL, FACOM
MATEMÁTICA DISCRETA E ÁLGEBRA,
PROJETO DE REDES DE COMPUTADORES, FACOM
SEGURANÇA DE REDES I, FACOM
SOCIEDADE E AMBIENTE, 
TÓPICOS EM ARQUITETURA DE COMPUTADORES, FACOM
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE I", FACOM
TÓPICOS EM EMPREENDEDORISMO, 
FUNDAMENTOS DE REDES DE COMPUTADORES, FACOM
ADMINISTRAÇÃO DE SISTEMAS II, FACOM
FÍSICA I
PROCESSOS DE SOFTWARE, FACOM
SISTEMAS DIGITAIS, FACOM
CONSTRUÇÃO DE SOFTWARE I, FACOM
CONSTRUÇÃO DE SOFTWARE II, FACOM
FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES, FACOM
INTRODUÇÃO AO CÁLCULO,
DESENHO E PLÁSTICA II,
ESTUDOS SOCIAIS NA ARQUITETURA E URBANISMO,
GERÊNCIA DE REDES, FACOM
INTRODUÇÃO A SISTEMAS OPERACIONAIS, FACOM
LABORATÓRIO DE DESENVOLVIMENTO DE SISTEMAS, FACOM
FUNDAMENTOS DE INSTALAÇÃO ELÉTRICA,
INTERCONEXÃO E CONFIGURAÇÃO DE ATIVOS DE REDE, FACOM
REDES CONVERGENTES,
ESTRUTURAS DE DADOS, FACOM
ESTUDO DE LIBRAS,
PROGRAMAÇÃO PARA WEB, FACOM
TÉCNICAS AVANÇADAS DE DESENVOLVIMENTO DE SOFTWARE, FACOM
TÓPICOS EM SISTEMAS DISTRIBUÍDOS I, FACOM
COMPUTAÇÃO DISTRIBUÍDA, FACOM
ALGORITMOS E PROGRAMAÇÃO ORIENTADA A OBJETOS I, FACOM
ESTATÍSTICA II,
JORNALISMO AMBIENTAL,
PSICOLOGIA SOCIAL I,
REDES DEFINIDAS POR SOFTWARE, FACOM
SISTEMAS PARTIDÁRIOS E SISTEMAS ELEITORAIS,
TÓPICOS EM REDES DE COMPUTADORES III, FACOM
TÓPICOS EM SISTEMAS OPERACIONAIS, FACOM
ASPECTOS DA TIPOLOGIA DE LÍNGUAS NEGRO-AFRICANAS,
LITERATURAS DE LÍNGUA INGLESA I,
MICROCONTROLADORES E APLICAÇÕES,
TÓPICOS EM COMPUTAÇÃO II, FACOM
ELETRICIDADE,
ESTATÍSTICA,
INSTALAÇÕES ELÉTRICAS,
SEGURANÇA DE REDES II, FACOM
CÁLCULO III,
CIRCUITOS ELÉTRICOS,
CIRCUITOS ELETRÔNICOS,
ECONOMIA,
EQUAÇÕES DIFERENCIAIS,
FÍSICA II,
FÍSICA III,
FUNDAMENTOS DA ADMINISTRAÇÃO,
FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE,
FUNDAMENTOS DE QUÍMICA,
INTRODUÇÃO A ENGENHARIA DA COMPUTAÇÃO, FACOM
LABORATÓRIO DE FÍSICA I,
LABORATÓRIO DE FÍSICA II,
MECÂNICA APLICADA,
MECÂNICA DOS SÓLIDOS ELEMENTAR,
ADMINISTRAÇÃO E ORGANIZAÇÃO DE EMPRESAS,
ANÁLISE DE SINAIS E SISTEMAS,
CONTROLE E SERVOMECANISMO,
CONTROLE E SERVOMECANISMOS,
FUNDAMENTOS DE ECONOMIA,
FUNDAMENTOS DE FENÔMENOS DE TRANSPORTES,
MECÂNICA GERAL,
QUÍMICA GERAL,
SISTEMAS DE INTEGRAÇÃO E AUTOMAÇÃO INDUSTRIAL,
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO III,
DESENHO E PLÁSTICA I,
DESENHO TÉCNICO E ARQUITETÔNICO I,
DESENHO TÉCNICO E ARQUITETÔNICO II,
ESTÉTICA E HISTÓRIA DAS ARTES I,
ESTÉTICA E HISTÓRIA DAS ARTES II,
GEOMETRIA DESCRITIVA,
INTRODUÇÃO AO PROJETO,
MECÂNICA DOS SÓLIDOS E MECÂNICA DAS ESTRUTURAS I,
METODOLOGIA DO ENSINO DAS DANÇAS,
TÓPICOS EM COMPUTAÇÃO III, FACOM
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO I, FACOM
TÓPICOS EM ENGENHARIA DE SOFTWARE, FACOM
TOPOGRAFIA I,
ARQUITETURA DE MATO GROSSO DO SUL,
CARTOGRAFIA,
CARTOGRAFIA TEMÁTICA,
GEOPROCESSAMENTO I,
SENSORIAMENTO REMOTO E FOTOINTERPRETAÇÃO,
ANÁLISE E CONCEPÇÃO DE ESTRUTURAS,
ANATOMIA HUMANA,
BASES BIOLOGICAS PARA A ATIVIDADE FISICA,
CIÊNCIA E EDUCAÇÃO FISICA I,
CIÊNCIA POLÍTICA E TEORIA GERAL DO ESTADO,
CONFORTO AMBIENTAL I,
CONFORTO AMBIENTAL II,
CONFORTO AMBIENTAL III,
DESENHO E REPRESENTAÇÃO I,
DESENHO E REPRESENTAÇÃO II,
EDUCAÇÃO EM ASTRONOMIA I,
ESPORTE EDUCACIONAL,
ESTÁTICA DAS ESTRUTURAS,
ESTUDOS DA FORMA E COMPOSIÇÃO I,
ESTUDOS DA FORMA E COMPOSIÇÃO II,
FÍSICA F I,
FUNDAMENTOS DE ARQUITETURA, 
FUNDAMENTOS DE URBANISMO,
GINÁSTICA E FORMAÇÃO HUMANA I,
"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO I",
"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO III",
"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO IV",
INFRAESTRUTURA URBANA I,
INSTRUMENTAÇÃO INDUSTRIAL,
INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO, FACOM
INTRODUÇÃO AO ESTUDO DO DIREITO,
MATERIAIS E TÉCNICAS CONSTRUTIVAS I,
MATERIAIS E TÉCNICAS CONSTRUTIVAS II,
MECÂNICA DOS SÓLIDOS,
MECÂNICA DOS SOLOS E FUNDAÇÕES,
METODOLOGIA DO ENSINO DO ESPORTE I: HANDEBOL,
METODOLOGIA E REDAÇÃO CIENTÍFICA,
PAISAGISMO I,
PAISAGISMO II,
PLANEJAMENTO URBANO I,
PLANEJAMENTO URBANO II,
PRÁTICA DE ENSINO EM EDUCAÇÃO FÍSICA I,
PRÉ-DIMENSIONAMENTO DE ESTRUTURAS,
PROJETO I,
PROJETO II,
REPRESENTAÇÃO E CRIAÇÃO DIGITAL I,
REPRESENTAÇÃO E CRIAÇÃO DIGITAL II,
SUSTENTABILIDADE NA ARQUITETURA E URBANISMO,
TÓPICOS ESPECIAIS EM GESTÃO DA INOVAÇÃO TECNOLÓGICA,
TOPOGRAFIA,
TRABALHO E EDUCAÇÃO FÍSICA,
MANUTENÇÃO DE SOFTWARE, FACOM
CIÊNCIAS DO AMBIENTE,
CONSTRUÇÃO DE SOFTWARE, FACOM
PROGRAMAÇÃO PARALELA, FACOM
TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I, FACOM
GERENCIAMENTO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO, FACOM
ORGANIZAÇÃO DE COMPUTADORES, FACOM
