SEGURANÇA DE REDES I, FACOM
SOCIEDADE E AMBIENTE, FAENG 
TÓPICOS EM ARQUITETURA DE COMPUTADORES, FACOM
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE I", FACOM
TÓPICOS EM EMPREENDEDORISMO, ESAN
FUNDAMENTOS DE REDES DE COMPUTADORES, FACOM
ADMINISTRAÇÃO DE SISTEMAS II, FACOM
FÍSICA I, INFI
PROCESSOS DE SOFTWARE, FACOM
SISTEMAS DIGITAIS, FACOM
CONSTRUÇÃO DE SOFTWARE I, FACOM
CONSTRUÇÃO DE SOFTWARE II, FACOM
FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES, FACOM
INTRODUÇÃO AO CÁLCULO, INMA
GERÊNCIA DE REDES, FACOM
INTRODUÇÃO A SISTEMAS OPERACIONAIS, FACOM
LABORATÓRIO DE DESENVOLVIMENTO DE SISTEMAS, FACOM
FUNDAMENTOS DE INSTALAÇÃO ELÉTRICA, FAENG
INTERCONEXÃO E CONFIGURAÇÃO DE ATIVOS DE REDE, FACOM
REDES CONVERGENTES, FACOM
ESTRUTURAS DE DADOS, FACOM
ESTUDO DE LIBRAS, FAALC
PROGRAMAÇÃO PARA WEB, FACOM
TÉCNICAS AVANÇADAS DE DESENVOLVIMENTO DE SOFTWARE, FACOM
TÓPICOS EM SISTEMAS DISTRIBUÍDOS I, FACOM
COMPUTAÇÃO DISTRIBUÍDA, FACOM
ALGORITMOS E PROGRAMAÇÃO ORIENTADA A OBJETOS I, FACOM
REDES DEFINIDAS POR SOFTWARE, FACOM
TÓPICOS EM REDES DE COMPUTADORES III, FACOM
TÓPICOS EM SISTEMAS OPERACIONAIS, FACOM
MICROCONTROLADORES E APLICAÇÕES, FACOM
TÓPICOS EM COMPUTAÇÃO II, FACOM
ELETRICIDADE, FAENG
ESTATÍSTICA, INMA
INSTALAÇÕES ELÉTRICAS, FAENG
SEGURANÇA DE REDES II, FACOM
CÁLCULO III, INMA
CIRCUITOS ELÉTRICOS, FAENG
CIRCUITOS ELETRÔNICOS, FACOM
ECONOMIA, ESAN
EQUAÇÕES DIFERENCIAIS, INMA
FÍSICA II, INFI
FÍSICA III, INFI
FUNDAMENTOS DA ADMINISTRAÇÃO, ESAN
FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE, FAENG
FUNDAMENTOS DE QUÍMICA, INQUI
