ID disciplina horario carga    turma  curso  turno  semestre  entrada   num.t  num.a  num.r  num.d   media.t media.a  media.r  media.d  media.freq.t media.freq.a media.freq.r 	media.freq.d
24	5	0.00	2	1076	2	1	2	2	32.00	0.28	0.72	0.00	4.9	7.8	3.8	NaN	13.3	6.4	16.0	NaN
25	5	0.00	2	1076	2	1	2	2	37.00	0.27	0.65	0.08	4.5	7.5	3.8	0.5	26.5	7.0	27.8	80.8
26	1	3.67	3	1076	2	1	2	2	30.00	0.20	0.80	0.00	3.8	7.9	2.8	NaN	23.2	10.4	26.4	NaN
26	1	1.50	2	1076	2	1	2	2	30.00	0.20	0.80	0.00	3.8	7.9	2.8	NaN	23.2	10.4	26.4	NaN
27	2	4.00	1	1076	2	1	2	2	31.00	1.00	0.00	0.00	8.3	8.3	NaN	NaN	0.0	0.0	NaN	NaN
27	2	5.00	1	1076	2	1	2	2	31.00	1.00	0.00	0.00	8.3	8.3	NaN	NaN	0.0	0.0	NaN	NaN
28	4	1.00	1	1075	2	1	5	2	19.00	0.79	0.16	0.05	6.9	8.3	1.8	1.9	19.7	13.0	35.0	75.0
29	1	4.00	2	1075	2	1	5	2	20.00	0.70	0.30	0.00	7.3	8.8	3.7	NaN	15.5	7.1	35.0	NaN
29	1	4.00	3	1075	2	1	5	2	20.00	0.70	0.30	0.00	7.3	8.8	3.7	NaN	15.5	7.1	35.0	NaN
30	2	2.00	1	1075	2	1	5	2	20.00	0.75	0.20	0.05	6.1	7.7	1.6	0.0	20.0	8.3	43.8	100.0
30	2	4.00	1	1075	2	1	5	2	20.00	0.75	0.20	0.05	6.1	7.7	1.6	0.0	20.0	8.3	43.8	100.0
32	2	5.50	2	1075	2	1	5	2	22.00	0.86	0.14	0.00	7.4	8.2	2.0	NaN	2.7	0.8	15.0	NaN
32	2	3.50	2	1075	2	1	5	2	22.00	0.86	0.14	0.00	7.4	8.2	2.0	NaN	2.7	0.8	15.0	NaN
33	3	3.50	2	1075	2	1	5	2	20.00	0.90	0.05	0.05	7.9	8.4	4.6	1.1	10.8	5.3	40.0	80.0
33	3	5.50	2	1075	2	1	5	2	20.00	0.90	0.05	0.05	7.9	8.4	4.6	1.1	10.8	5.3	40.0	80.0
34	1	4.50	2	1075	2	1	5	2	20.00	0.70	0.25	0.05	5.5	7.3	1.6	0.0	18.2	5.8	41.7	75.0
35	5	0.00	1	1075	2	1	5	2	17.00	0.94	0.06	0.00	9.1	9.5	2.5	NaN	5.3	3.1	40.0	NaN
36	5	0.00	2	1075	2	1	5	2	23.00	0.57	0.30	0.13	5.7	8.0	4.0	0.0	18.2	1.7	14.3	98.3
37	5	0.00	2	1075	2	1	5	2	22.00	0.82	0.14	0.05	7.0	7.8	4.6	0.0	13.8	9.3	18.3	80.0
38	5	0.00	3	1075	2	1	5	2	15.00	1.00	0.00	0.00	8.2	8.2	NaN	NaN	5.3	5.3	NaN	NaN
39	5	0.00	2	1075	2	1	5	2	22.00	0.86	0.09	0.05	7.2	8.4	0.0	0.0	12.6	5.3	52.5	72.5
40	5	0.00	2	1075	2	1	5	2	22.00	0.91	0.05	0.05	7.4	7.9	4.4	0.0	13.2	7.6	45.0	92.5
